"Feature","Coefficient"
"t4.OH.Pro",-0.225787915059023
"CDCA",-0.185848175597961
"DiCA.14.0.",0.183607582813906
"X3.IAA",0.181938921333368
"Betaine",-0.169216859390043
"Creatinine",0.166835434279983
"Serotonin",0.158347548452608
"FA.16.0.",-0.150032574292459
"DCA",0.143811282774657
"DG.18.2_18.3.",0.142953783361436
"Xanthine",0.133612600042651
"PC.ae.C42.1",-0.130867853947465
"HipAcid",-0.130143347422684
"Hex3Cer.d18.1.26.1.",0.119948515308056
"alpha.AAA",-0.11699335756564
"PC.ae.C36.5",-0.116071924450667
"C7.DC",-0.115930378233658
"C3",-0.112080554519555
"DG.22.1_22.2.",-0.106111259115305
"Cortisol",0.0998789081902952
"Trp",-0.0996824696347544
"GLCA",0.0985906284889182
"DG.16.1_18.2.",0.0975778660682617
"Cer.d18.0.20.0.",-0.0949494181193462
"SM.C26.0",-0.0947585437384489
"Cer.d18.1.18.0.",0.0936349621955599
"C10",0.0920520581157275
"Pro",-0.0872969729878317
"PEA",-0.0867555631216965
"Met",-0.0866939844440744
"DOPA",0.0866057162543081
"GLCAS",0.0850829604681761
"DHA",-0.0831080302942792
"Cys",0.0802288800704591
"Trigonelline",-0.079993723545308
"TG.16.0_32.0.",-0.0790419054781638
"Cer.d18.1.26.0.",-0.0786607615889953
"DG.21.0_22.6.",-0.0762254982857379
"CE.22.5.",0.0725750984592781
"SM.C16.1",-0.0708213303532649
"AbsAcid",0.0703206639791796
"Spermine",-0.0689213473386269
"PC.aa.C34.1",-0.06778605476178
"Hex2Cer.d18.1.20.0.",0.0670386175068061
"TG.16.1_32.0.",-0.0666985662506835
"HexCer.d18.2.20.0.",-0.0660690990063428
"TG.18.1_30.2.",0.0657990897107303
"TMCA",-0.0653120109270669
"DG.14.0_14.0.",0.0645466242946263
"PC.aa.C36.2",-0.0643445674363977
"Cer.d18.1.18.0.OH..",0.0638410651932689
"DG.16.0_18.2.",0.0634581086681407
"TrpBetaine",0.0615163429843407
"FA.18.1.",-0.0609912906956752
"C5.M.DC",0.0603792927605295
"TG.16.1_34.3.",0.0602534844303571
"TG.22.6_32.0.",-0.0596217678396591
"DG.18.1_18.4.",0.0593632451910204
