"biomarker","auc","CN_Mean","CN_SD","AD_Mean","AD_SD","pvalues","statistic","foldchange","qvalues"
"1-Met-His",0.528,7.596,2.557,7.506,3.151,0.716,-0.365,0.988,0.864
"3-IAA",0.565,3.822,2.175,4.524,2.734,0.001,3.317,1.184,0.014
"3-IPA",0.525,8.192,66.387,3.364,31.15,0.234,-1.191,0.411,0.492
"3-Met-His",0.527,12.882,12.363,11.989,13.717,0.419,-0.808,0.931,0.65
"5-AVA",0.53,0.062,0.054,0.064,0.034,0.552,0.595,1.035,0.748
"AA",0.507,1.534,0.623,1.488,0.634,0.387,-0.867,0.97,0.632
"AbsAcid",0.537,0.023,0.016,0.026,0.023,0.054,1.933,1.149,0.217
"Ac-Orn",0.587,30.184,9.762,27.504,8.427,0,-3.56,0.911,0.008
"AconAcid",0.567,1.174,0.468,1.28,0.78,0.06,1.89,1.091,0.231
"ADMA",0.505,0.568,0.081,0.568,0.086,0.953,-0.059,0.999,0.972
"Ala",0.536,495.171,100.425,482.08,103.355,0.127,-1.529,0.974,0.345
"alpha-AAA",0.538,13.03,5.369,12.017,4.156,0.01,-2.585,0.922,0.068
"Anserine",0.555,1.463,0.54,1.346,0.445,0.004,-2.868,0.92,0.036
"Arg",0.503,146.711,27.654,144.869,25.514,0.405,-0.833,0.987,0.642
"Asn",0.505,61.606,11.411,61.203,10.406,0.657,-0.444,0.993,0.833
"Asp",0.513,32.364,11.399,31.28,9.709,0.215,-1.242,0.967,0.464
"BABA",0.57,113.363,31.425,105.598,31.723,0.004,-2.932,0.932,0.034
"beta-Ala",0.511,0.145,0.073,0.151,0.076,0.353,0.929,1.04,0.61
"Betaine",0.652,1.007,0.424,0.804,0.297,0,-6.866,0.798,0
"C0",0.538,45.081,9.091,45.95,9.546,0.269,1.107,1.019,0.521
"C10",0.619,0.309,0.217,0.378,0.26,0.001,3.351,1.221,0.013
"C10:1",0.557,0.39,0.058,0.397,0.06,0.151,1.44,1.018,0.376
"C10:2",0.54,0.081,0.02,0.077,0.015,0.016,-2.406,0.958,0.09
"C12",0.597,0.13,0.043,0.145,0.056,0,3.525,1.115,0.008
"C12-DC",0.605,0.099,0.005,0.098,0.001,0.141,-1.474,0.996,0.362
"C12:1",0.554,0.287,0.031,0.294,0.039,0.038,2.083,1.022,0.17
"C14",0.559,0.056,0.011,0.058,0.011,0.018,2.383,1.04,0.094
"C14:1",0.545,0.099,0.022,0.102,0.024,0.08,1.752,1.035,0.269
"C14:1-OH",0.52,0.029,0.005,0.029,0.005,0.42,-0.806,0.988,0.65
"C14:2",0.564,0.056,0.018,0.06,0.02,0.024,2.262,1.065,0.12
"C14:2-OH",0.528,0.023,0.004,0.023,0.004,0.179,-1.345,0.981,0.419
